,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No.,RT1),RI,Compound name,"Aroma description
 (Threshold)",Concentration2),,,,,,,,,,i.d3),
112,33.301,1738,"(2,2-Diethoxyethyl)benzene ",,,,0.06±0.00,,,,,,,,MS,v
113,34.1,1774,isobutyl caprate,,,0.04±0.00,,,0.10±0.00,,1.10±0.24,,,,"MS,RI",o
114,34.101,1774,Citronollol,,,,,,0.05±0.00,0.02±0.00,,0.05±0.00,,,"MS,RI",o
115,34.953,1813,Methyl salicylate,,,0.06±0.01,,,0.11±0.01,,0.14±0.02,0.01±0.00,,,"MS,RI",o
117,35.64,1845,Phenethyl acetate,,,0.29±0.06,0.11±0.02,0.70±0.03,0.48±0.02,,0.81±0.31,0.03±0.00,,,"MS,RI",o
118,35.851,1855,(E)-β-damascenone,,,0.29±0.04,,,,,,,,,"MS,RI",o
119,35.856,1855,Ethyl laurate,"waxy, slightly floral&fruity",,,0.06±0.02,,0.12±0.04,,33.07±5.90,0.08±0.02,,,"MS,RI",o
120,35.944,1859,Hexanoic acid,,,0.07±0.01,,,,,,,,,"MS,RI",o
121,36.288,1875,isoamyl decanoate,,,,,,,,3.57±0.53,0.01±0.00,,,"MS,RI",o
123,37.395,1927,BHT (Butylated Hydroxy Toluene),,0.14±0.01,,0.14±0.02,,,0.06±0.00,0.26±0.08,0.02±0.00,,,"MS,RI",o
124,37.723,1942,Benzeneethanol (phenethyl alcohol),,1.19±0.02,0.57±0.09,0.21±0.08,0.84±0.17,0.30±0.01,,0.57±0.05,,,,"MS,RI",o
125,40.386,>2000,ethyl myristate,,,,,,,,0.34±0.05,,,,"MS,RI",o
126,40.713,>2000,Octanoic acid,,,0.32±0.07,,0.21±0.08,0.04±0.00,,0.41±0.07,,,,"MS,RI",o
127,47.574,>2000,Decanoic acid,,,0.10±0.03,,,,,0.27±0.05,,,,"MS,RI",o
128,49.079,>2000,"2,4-di-tert-butylphenol ",,,0.12±0.01,,,0.06±0.00,,,0.03±0.00,,,"MS,RI",o
"1) Retention time
2) PPM (μg/g) ± Standard deviation
3) Identification
4) Trace",,,,,,,,,,,,,,,,
